,t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
SkI4,-1855.827,473.829,1006.855,9703.607,NaN,NaN,0.405082,-2.889148,-1.32515,1.145203,NaN,NaN,0.25,NaN,NaN
SkI5,-1772.907,550.84,-126.685,8206.246,NaN,NaN,-0.117077,-1.308726,-1.04864,0.341023,NaN,NaN,0.25,NaN,NaN
SkI6,-1849.347,483.913,528.43,9553.404,NaN,NaN,0.491825,-2.137409,-1.381416,1.337188,NaN,NaN,0.25,NaN,NaN
SkM,-2645,385,-120,15595,NaN,NaN,0.09,0,0,0,NaN,NaN,0.1666667,NaN,NaN
Skm07,-1122.408,440.572,-197.528,11906.299,NaN,NaN,0.394119,0.068384,-0.752728,0.946945,NaN,NaN,1,NaN,NaN
Skm08,-1100.272,359.568,-210.84,13653.845,NaN,NaN,0.44528,0.224693,-0.615015,0.639947,NaN,NaN,1,NaN,NaN
Skm09,-1082.609,295.999,-240.653,15003.161,NaN,NaN,0.491775,0.389884,-0.579284,0.512106,NaN,NaN,1,NaN,NaN
SkM1,-2645,410,-135,15595,NaN,NaN,1.3,0,0,1.734,NaN,NaN,0.1666667,NaN,NaN
Skm1,-1066.976,245.431,-245.314,16026.086,NaN,NaN,0.525497,0.603399,-0.500115,0.366056,NaN,NaN,1,NaN,NaN
SkMP,-2372.24,503.623,57.2783,12585.3,NaN,NaN,-0.157563,-0.402886,-2.95571,-0.267933,NaN,NaN,0.1666667,NaN,NaN
SkMs,-2645,410,-135,15595,NaN,NaN,0.09,0,0,0,NaN,NaN,0.1666667,NaN,NaN
SkO,-2103.653,303.352,791.674,13553.252,NaN,NaN,-0.210701,-2.810752,-1.461595,-0.429881,NaN,NaN,0.25,NaN,NaN
SkOp,-2099.419,301.531,154.781,13526.464,NaN,NaN,-0.029503,-1.325732,-2.323439,-0.147404,NaN,NaN,0.25,NaN,NaN
SkP,-2931.7,320.618,-337.409,18708.96,NaN,NaN,0.29215,0.65318,-0.53732,0.18103,NaN,NaN,0.1666667,NaN,NaN
SKRA,-2895.4,405.5,-89.1,16660,NaN,NaN,0.08,0,0.2,0,NaN,NaN,0.1422,NaN,NaN
SkS1,-2013.4,359.8,-171.9,12754,NaN,NaN,0.15,0.456,-0.179,-0.049,NaN,NaN,0.2601,NaN,NaN
SkS2,-2015.9,364.6,-49,12755,NaN,NaN,-0.106,0.874,2.52,-0.615,NaN,NaN,0.2602,NaN,NaN
SkS3,-2014.7,361,-29.5,12756,NaN,NaN,-0.319,0.732,4.95,-0.904,NaN,NaN,0.2604,NaN,NaN
SkS4,-2011.7,348.7,-317,12781,NaN,NaN,0.256,0.675,-0.67,0.144,NaN,NaN,0.2597,NaN,NaN
SkSC1,-1788.59,282.623,-282.623,12775.3,NaN,NaN,0.72,-0.5,-0.5,1.04564,NaN,NaN,0.3333333,NaN,NaN
SkSC10,-1795.12,298.95,-298.95,12827.7,NaN,NaN,0.159124,-0.5,-0.5,0.292918,NaN,NaN,0.3333333,NaN,NaN
SkSC11,-1789.42,283.467,-283.467,12782.3,NaN,NaN,0.79,-0.5,-0.5,1.13871,NaN,NaN,0.3333333,NaN,NaN
SkSC14,-1792.47,291.334,-291.334,12805.7,NaN,NaN,0.364025,-0.5,-0.5,0.455431,NaN,NaN,0.3333333,NaN,NaN
SkSC15,-1789.81,285.6,-285.6,12783.7,NaN,NaN,0.621299,-0.5,-0.5,0.895573,NaN,NaN,0.3333333,NaN,NaN
SkSC2,-1791.64,290.601,-290.601,12800.5,NaN,NaN,0.38,-0.5,-0.5,0.59276,NaN,NaN,0.3333333,NaN,NaN
SkSC3,-1788.11,289.901,-96.6337,12771.4,NaN,NaN,0.65,-1,1,0.960976,NaN,NaN,0.3333333,NaN,NaN
SkSC4,-1789.42,283.467,-283.467,12782.3,NaN,NaN,0.79,-0.5,-0.5,1.13871,NaN,NaN,0.3333333,NaN,NaN
SkSC4o,-1788.42,283.037,-283.037,12775,NaN,NaN,0.79434,-0.5,-0.5,1.18439,NaN,NaN,0.3333333,NaN,NaN
SkSC5,-1788.17,281.931,-281.931,12771.9,NaN,NaN,0.98,-0.5,-0.5,1.38526,NaN,NaN,0.3333333,NaN,NaN
SkSC6,-1792.47,291.964,-291.964,12805.7,NaN,NaN,0.370038,-0.5,-0.5,0.581085,NaN,NaN,0.3333333,NaN,NaN
SkT,-1144.7,402.1,56.1,9656.3,NaN,NaN,0.07,0,0,1,NaN,NaN,1,NaN,NaN
SkT1,-1794,298,-298,12812,NaN,NaN,0.154,-0.5,-0.5,0.089,NaN,NaN,0.3333333,NaN,NaN
SkT1s,-1800.5,296,-296,12884,NaN,NaN,0.157,-0.5,-0.5,0.092,NaN,NaN,0.3333333,NaN,NaN
SkT2,-1791.6,300,-300,12792,NaN,NaN,0.154,-0.5,-0.5,0.089,NaN,NaN,0.3333333,NaN,NaN
SkT3,-1791.8,298.5,-99.5,12794,NaN,NaN,0.138,-1,1,0.075,NaN,NaN,0.3333333,NaN,NaN
SkT3s,-1800.5,296,-98.67,12884,NaN,NaN,0.142,-1,1,0.076,NaN,NaN,0.3333333,NaN,NaN
SkT4,-1808.8,303.4,-303.4,12980,NaN,NaN,-0.177,-0.5,-0.5,-0.5,NaN,NaN,0.3333333,NaN,NaN
SkT5,-2917.1,328.2,-328.2,18584,NaN,NaN,-0.295,-0.5,-0.5,-0.5,NaN,NaN,0.1666667,NaN,NaN
SkT6,-1794.2,294,-294,12817,NaN,NaN,0.392,-0.5,-0.5,0.5,NaN,NaN,0.3333333,NaN,NaN
SkT7,-1892.5,366.6,-21,11983,NaN,NaN,0.334,-0.359,6.9,0.366,NaN,NaN,0.285,NaN,NaN
SkT8,-1892.5,367,-228.76,11983,NaN,NaN,0.448,-0.5,-0.5,0.695,NaN,NaN,0.285,NaN,NaN
SkT9,-1891.4,377.4,-239.16,11982,NaN,NaN,0.441,-0.5,-0.5,0.686,NaN,NaN,0.285,NaN,NaN
SkTK,-2248,558.8,-83.7,11224,NaN,NaN,0.715,0,0,1,NaN,NaN,0.166667,NaN,NaN
SkX,-1445.32,246.867,-131.786,12103.86,NaN,NaN,0.34,0.58,0.127,0.03,NaN,NaN,0.5,NaN,NaN
SkXce,-1437.96,244.335,-133.741,12116.26,NaN,NaN,0.289,0.611,0.145,-0.056,NaN,NaN,0.5,NaN,NaN
SkXm,-1803.06,273.756,-95.946,12755.09,NaN,NaN,0.306,0.225,0.698,0.116,NaN,NaN,0.33333,NaN,NaN
Skxs15,-2883.29,291.6,-314.89,18239.55,NaN,NaN,0.4762,-0.25433,-0.61109,0.52936,NaN,NaN,0.1666667,NaN,NaN
Skxs20,-2885.24,302.73,-323.42,18237.49,NaN,NaN,0.13746,-0.25548,-0.60744,0.05428,NaN,NaN,0.1666667,NaN,NaN
Skxs25,-2887.81,315.5,-329.3,18229.81,NaN,NaN,-0.18594,-0.24766,0.60119,-0.40902,NaN,NaN,0.1666667,NaN,NaN
Skyrme1p,-1057.3,235.9,-100,14463.5,NaN,NaN,0.2885,0,0,0.2257,NaN,NaN,1,NaN,NaN
SKz0,-2471.1,439.85,-258.18,13732.8,NaN,NaN,0.1986,1.0413,-0.8328,0,NaN,NaN,0.1694,NaN,NaN
SKz1,-2471.1,439.85,-262.98,13732.8,NaN,NaN,0.6052,0.4933,-0.8404,0.7282,NaN,NaN,0.1694,NaN,NaN
SKz2,-2471.1,439.85,-267.78,13732.8,NaN,NaN,1.029,0.0546,-0.8478,1.4564,NaN,NaN,0.1694,NaN,NaN
SKz3,-2471.1,439.85,-272.66,13732.8,NaN,NaN,1.4174,-0.6082,-0.8549,2.1846,NaN,NaN,0.1694,NaN,NaN
SKz4,-2471.1,439.85,-277.5,13732.8,NaN,NaN,1.8226,-1.164,-0.8618,2.9127,NaN,NaN,0.1694,NaN,NaN
SKzm1,-2471.1,439.85,-299.14,13732.8,NaN,NaN,-0.2665,1.2968,-0.8899,-0.7282,NaN,NaN,0.1694,NaN,NaN
