t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
SV-kap20,-1878.883,313.245,44.042,12519.929,NaN,NaN,0.33139755,-0.8796717,-5.267351,0.3902358,NaN,NaN,0.3,NaN,NaN
SV-kap00,-1877.891,312.6,7.104,12509.993,NaN,NaN,0.393391,-1.45482,-26.089659,0.640506,NaN,NaN,0.3,NaN,NaN
SV-tls,-1879.892,317.952,30.265,12531.858,NaN,NaN,0.2464135,-0.19762662,-7.2127638,0.10379268,NaN,NaN,0.3,NaN,NaN
UNEDF0,-1883.68781,277.5002122,608.4309056,13901.94834,NaN,NaN,0.00974375,-1.77784395,-1.67699035,-0.38079041,NaN,NaN,0.32195599,NaN,NaN
UNEDF1,-2078.328023,239.400812,1575.119542,14263.64625,NaN,NaN,0.05375692,-5.07723238,-1.36650561,-0.16249117,NaN,NaN,0.27001801,NaN,NaN
ska25s20,-2180.48,281.49,-160.44,14577.8,NaN,NaN,0.13712,-0.8,0,0.06208,NaN,NaN,0.25,NaN,NaN
ska35s15,-1768.97,249.37,-155.56,12978.71,NaN,NaN,0.42553,-0.8,0,0.5274,NaN,NaN,0.35,NaN,NaN
ska35s20,-1768.83,263.86,-158.34,12904.8,NaN,NaN,0.12899,-0.8,0,0.00654,NaN,NaN,0.35,NaN,NaN
ska35s25,-1772.73,276.85,-162.36,12899.78,NaN,NaN,-0.14393,-0.8,0,-0.49481,NaN,NaN,0.35,NaN,NaN
ska45s20,-1537.89,245.47,-157.2,12461.12,NaN,NaN,0.12318,-0.8,0,-0.05608,NaN,NaN,0.45,NaN,NaN
s3hs20,-2672.9292,389.99866,-483.65036,15780.56641,NaN,NaN,0.38065,-0.4,-0.93,0.5464,NaN,NaN,0.166666,NaN,NaN
s3s16,-2709.763672,365.6653748,-495.5246582,16215.47949,NaN,NaN,0.5361848,0.17936,-0.9268,0.679573,NaN,NaN,0.166666,NaN,NaN
s3s20,-2701.99585,379.7926636,-503.6746216,16098.8623,NaN,NaN,0.2749417,0.17936,-0.9268,0.296662,NaN,NaN,0.166666,NaN,NaN
s3s24,-2705.20166,391.3623657,-521.7019653,16102.80664,NaN,NaN,0.0303748,0.17936,-0.9268,-0.0701945,NaN,NaN,0.166666,NaN,NaN
s6hs20,-2825.33716,460.53088,-92.32841,15717.91211,NaN,NaN,0.20841,-0.05,0.03,0.17311,NaN,NaN,0.14,NaN,NaN
s6s16,-2890.862061,429.2244263,-97.4184952,16398.63477,NaN,NaN,0.487592,-0.0700489,0.02717,0.5763649,NaN,NaN,0.14,NaN,NaN
s6s20,-2846.386719,452.9282837,-95.367775,15933.55762,NaN,NaN,0.1989428,-0.0700489,0.02717,0.1595835,NaN,NaN,0.14,NaN,NaN
s6s24,-2850.687012,465.3125,-99.0769882,15935.56348,NaN,NaN,-0.0832781,-0.0700489,0.02717,-0.2668398,NaN,NaN,0.14,NaN,NaN
s7hs20,-2182.06104,277.28992,-160.75455,14616.16504,NaN,NaN,0.14993,-0.8,0,0.08177,NaN,NaN,0.25,NaN,NaN
